# Chunk-averaged data for fix density_out and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
12000000 30 3640
  13 3.18633 136 1.36027
  14 4.18633 123 1.18207
  15 5.18633 133 1.27051
  16 6.18633 111 1.02145
  17 7.18633 123 1.10742
  18 8.18633 107 0.99655
  19 9.18633 153 1.60923
  20 10.1863 116 1.19571
  21 11.1863 120 1.26789
  22 12.1863 114 1.00151
  23 13.1863 123 1.23569
  24 14.1863 111 1.10864
  25 15.1863 125 1.28918
  26 16.1863 123 1.22939
  27 17.1863 110 1.15704
  28 18.1863 124 1.20335
  29 19.1863 116 1.06751
  30 20.1863 105 0.98278
12110000 30 3640
  1 -8.81367 82 0.811118
  2 -7.81367 159 1.5671
  3 -6.81367 112 1.1227
  4 -5.81367 118 1.13395
  5 -4.81367 122 1.1966
  6 -3.81367 131 1.29666
  7 -2.81367 136 1.37558
  8 -1.81367 129 1.2141
  9 -0.813671 110 1.12282
  10 0.186329 115 1.104
  11 1.18633 100 0.998923
  12 2.18633 128 1.22794
  13 3.18633 135 1.26681
  14 4.18633 121 1.25032
  15 5.18633 136 1.34184
  16 6.18633 110 1.03016
  17 7.18633 130 1.23668
  18 8.18633 117 1.04407
  19 9.18633 146 1.50699
  20 10.1863 123 1.20783
  21 11.1863 118 1.2916
  22 12.1863 115 1.08027
  23 13.1863 126 1.23289
  24 14.1863 122 1.30556
  25 15.1863 123 1.1553
  26 16.1863 117 1.20276
  27 17.1863 121 1.26177
  28 18.1863 121 1.19035
  29 19.1863 118 1.10275
  30 20.1863 99 0.881285
12120000 30 3640
  1 -8.81367 113 1.09677
  2 -7.81367 130 1.35172
  3 -6.81367 124 1.15334
  4 -5.81367 131 1.33023
  5 -4.81367 124 1.24113
  6 -3.81367 136 1.29773
  7 -2.81367 122 1.26747
  8 -1.81367 139 1.30402
  9 -0.813671 98 0.924667
  10 0.186329 120 1.22242
  11 1.18633 113 1.05164
  12 2.18633 130 1.30655
  13 3.18633 119 1.26502
  14 4.18633 123 1.16459
  15 5.18633 131 1.32027
  16 6.18633 117 1.02018
  17 7.18633 122 1.14705
  18 8.18633 129 1.24121
  19 9.18633 134 1.43466
  20 10.1863 133 1.30774
  21 11.1863 105 1.11421
  22 12.1863 111 1.09418
  23 13.1863 130 1.2175
  24 14.1863 118 1.21604
  25 15.1863 114 1.20092
  26 16.1863 125 1.24495
  27 17.1863 119 1.19344
  28 18.1863 121 1.31523
  29 19.1863 113 0.958693
  30 20.1863 96 0.888175
12130000 30 3640
  1 -8.81367 84 0.830951
  2 -7.81367 153 1.46387
  3 -6.81367 110 1.12416
  4 -5.81367 137 1.32965
  5 -4.81367 128 1.22446
  6 -3.81367 136 1.40604
  7 -2.81367 124 1.20191
  8 -1.81367 128 1.24074
  9 -0.813671 112 1.10796
  10 0.186329 109 1.05413
  11 1.18633 102 1.01515
  12 2.18633 131 1.17321
  13 3.18633 126 1.26849
  14 4.18633 133 1.34462
  15 5.18633 130 1.34093
  16 6.18633 122 1.09044
  17 7.18633 118 1.10795
  18 8.18633 119 1.0554
  19 9.18633 144 1.5127
  20 10.1863 129 1.25207
  21 11.1863 108 1.23302
  22 12.1863 115 1.02892
  23 13.1863 123 1.26836
  24 14.1863 119 1.25214
  25 15.1863 126 1.23942
  26 16.1863 130 1.3009
  27 17.1863 115 1.24449
  28 18.1863 119 1.14674
  29 19.1863 129 1.1381
  30 20.1863 81 0.8096
12140000 30 3640
  1 -8.81367 85 0.791274
  2 -7.81367 141 1.39503
  3 -6.81367 136 1.35386
  4 -5.81367 112 1.12173
  5 -4.81367 136 1.28404
  6 -3.81367 137 1.36501
  7 -2.81367 130 1.31015
  8 -1.81367 136 1.33512
  9 -0.813671 109 1.16059
  10 0.186329 109 0.919714
  11 1.18633 110 1.10694
  12 2.18633 127 1.2229
  13 3.18633 131 1.24542
  14 4.18633 124 1.28518
  15 5.18633 124 1.14178
  16 6.18633 128 1.21422
  17 7.18633 117 1.06073
  18 8.18633 124 1.26525
  19 9.18633 128 1.29898
  20 10.1863 128 1.29898
  21 11.1863 116 1.13421
  22 12.1863 115 1.08814
  23 13.1863 118 1.2116
  24 14.1863 131 1.25918
  25 15.1863 126 1.32018
  26 16.1863 115 1.20663
  27 17.1863 128 1.30272
  28 18.1863 107 1.03694
  29 19.1863 120 1.05327
  30 20.1863 92 0.860989
12150000 30 3640
  1 -8.81367 101 0.953153
  2 -7.81367 149 1.45814
  3 -6.81367 119 1.14908
  4 -5.81367 128 1.23218
  5 -4.81367 125 1.15905
  6 -3.81367 135 1.41821
  7 -2.81367 122 1.19626
  8 -1.81367 126 1.1851
  9 -0.813671 111 1.04125
  10 0.186329 104 1.05233
  11 1.18633 108 1.07969
  12 2.18633 140 1.32538
  13 3.18633 116 1.16401
  14 4.18633 120 1.17884
  15 5.18633 134 1.2162
  16 6.18633 130 1.23348
  17 7.18633 115 1.06601
  18 8.18633 117 1.04623
  19 9.18633 148 1.53614
  20 10.1863 120 1.1306
  21 11.1863 124 1.33016
  22 12.1863 110 0.982878
  23 13.1863 121 1.26825
  24 14.1863 121 1.22609
  25 15.1863 118 1.16399
  26 16.1863 117 1.09816
  27 17.1863 131 1.41212
  28 18.1863 117 1.24338
  29 19.1863 124 1.02517
  30 20.1863 89 0.882228
12160000 32 3640
  1 -9.81367 2 0.0304369
  2 -8.81367 134 1.25974
  3 -7.81367 128 1.33714
  4 -6.81367 116 1.17205
  5 -5.81367 137 1.35475
  6 -4.81367 116 1.10748
  7 -3.81367 130 1.35975
  8 -2.81367 122 1.24067
  9 -1.81367 137 1.34839
  10 -0.813671 109 1.07834
  11 0.186329 101 1.08853
  12 1.18633 116 1.11259
  13 2.18633 123 1.13294
  14 3.18633 115 1.17854
  15 4.18633 129 1.27857
  16 5.18633 121 1.19509
  17 6.18633 129 1.15066
  18 7.18633 117 1.17594
  19 8.18633 118 1.19379
  20 9.18633 138 1.35733
  21 10.1863 131 1.31551
  22 11.1863 115 1.25442
  23 12.1863 103 1.01492
  24 13.1863 126 1.16218
  25 14.1863 124 1.33067
  26 15.1863 119 1.13036
  27 16.1863 117 1.2798
  28 17.1863 120 1.28504
  29 18.1863 118 1.23809
  30 19.1863 113 1.01242
  31 20.1863 114 1.06433
  32 21.1863 2 0.00255429
12170000 30 3640
  1 -8.81367 84 0.840583
  2 -7.81367 146 1.4403
  3 -6.81367 117 1.15892
  4 -5.81367 131 1.23544
  5 -4.81367 125 1.16144
  6 -3.81367 127 1.35127
  7 -2.81367 131 1.22812
  8 -1.81367 129 1.24652
  9 -0.813671 126 1.26023
