# Time-averaged data for fix avg_qst
# TimeStep v_U_ch4 v_Nmol_ch4 v_UN_ch4 v_N2_ch4 v_U_co2 v_Nmol_co2 v_UN_co2 v_N2_co2
920000 -36.8295 14.8 -545.449 219.2 -198.498 31.3333 -6219.61 981.778
930000 -33.8906 13.4 -454.785 179.8 -197.876 31.3333 -6200.11 981.778
940000 -36.4333 14.6 -532.573 213.4 -197.274 31.0667 -6129.55 965.244
950000 -37.8329 15.2 -575.478 231.2 -197.991 31.4667 -6231.76 990.4
960000 -34.2452 13.6 -466.344 185.2 -203.058 32 -6497.84 1024
970000 -35.1932 13.8 -487.668 191.4 -204.094 32 -6531 1024
980000 -37.8263 15.4 -584.488 238.2 -198.23 31.4667 -6238.47 990.222
990000 -40.0452 16 -640.724 256 -197.087 31.3333 -6175.41 981.778
1000000 -38.7864 15.6 -605.832 243.6 -196.472 31.3333 -6156.13 981.778
1010000 -41.5452 16.6 -690.286 275.8 -197.133 31.3333 -6176.85 981.778
1020000 -38.5378 15 -579.073 225.4 -198.471 31.3333 -6218.77 981.778
1030000 -36.1033 14 -505.447 196 -196.837 31.3333 -6167.57 981.778
1040000 -38.0496 15 -570.743 225 -198.733 31.3333 -6226.97 981.778
1050000 -40.1649 15.8 -636.703 250.6 -199.42 31.3333 -6248.49 981.778
1060000 -39.2059 15.4 -605.334 237.8 -200.673 31.3333 -6287.75 981.778
1070000 -36.3702 14 -509.183 196 -204.808 32.2667 -6609.44 1041.24
1080000 -36.3794 14.2 -517.008 201.8 -208.908 32.8 -6852.57 1075.91
1090000 -36.4292 14.4 -524.909 207.6 -211.236 33.0667 -6985.48 1093.51
1100000 -37.1952 14.8 -551.199 219.6 -210.24 32.6667 -6867.83 1067.11
1110000 -35.2579 14.2 -501.142 201.8 -208.572 32.6667 -6813.36 1067.11
1120000 -34.7676 14 -486.746 196 -211.209 32.8 -6928.04 1075.91
1130000 -37.0411 15 -555.616 225 -213.097 33.3333 -7103.25 1111.11
1140000 -38.569 15.8 -609.761 249.8 -216.477 33.4667 -7245.01 1120.09
1150000 -37.0662 15.4 -571.331 237.4 -220.952 34.4 -7601.35 1183.47
1160000 -36.9502 15.2 -562.203 231.2 -221.697 34.6667 -7685.51 1201.78
1170000 -39.1799 16 -626.878 256 -224.105 34.6667 -7768.99 1201.78
1180000 -42.0277 17 -714.472 289 -222.822 34.6667 -7724.49 1201.78
1190000 -40.9275 16.4 -671.72 269.2 -221.663 34.6667 -7684.31 1201.78
1200000 -39.4229 16 -630.766 256 -221.813 34.6667 -7689.51 1201.78
1210000 -40.9318 16.6 -679.659 275.8 -227.901 35.3333 -8052.51 1248.44
1220000 -39.7457 17 -676.932 289.4 -229.722 35.3333 -8116.83 1248.44
1230000 -38.9817 16 -625.442 257.2 -225.762 35.3333 -7976.93 1248.44
1240000 -34.4808 13.8 -477.106 191 -224.104 35.3333 -7918.34 1248.44
1250000 -31.4695 12.4 -390.774 154 -229.49 35.8667 -8231.86 1286.49
1260000 -29.8871 12 -358.645 144 -228.385 36 -8221.86 1296
1270000 -29.9403 12 -359.283 144 -228.494 36 -8225.77 1296
1280000 -28.1457 11.2 -315.703 125.6 -230.408 36 -8294.7 1296
1290000 -25.3314 10.2 -258.65 104.2 -229.841 36.1333 -8304.94 1305.69
1300000 -26.766 10.8 -289.569 116.8 -232.135 36.6667 -8511.62 1344.44
1310000 -26.2608 10.4 -273.716 108.4 -233.307 36.6667 -8554.58 1344.44
1320000 -24.97 9.8 -247.904 97.4 -231.405 36.6667 -8484.85 1344.44
1330000 -23.5136 9.2 -218.742 85.6 -230.971 36.6667 -8468.94 1344.44
1340000 -25.3465 10 -253.465 100 -235.389 36.6667 -8630.94 1344.44
1350000 -26.2155 10.6 -278.431 112.6 -231.206 36.4 -8417 1325.07
1360000 -25.2718 10 -252.718 100 -228.397 36 -8222.28 1296
1370000 -26.8098 10.8 -289.791 116.8 -227.152 36 -8177.46 1296
1380000 -26.9035 11 -295.939 121 -228.738 36 -8234.57 1296
1390000 -26.3773 10.8 -285.073 116.8 -227.031 36 -8173.13 1296
1400000 -28.5956 12 -343.147 144 -228.46 36 -8224.56 1296
1410000 -28.4128 11.8 -335.752 139.4 -229.739 36 -8270.62 1296
1420000 -24.2548 10 -245.556 101.6 -230.579 36 -8300.83 1296
1430000 -22.6664 8.6 -195.581 74.2 -229.113 36 -8248.06 1296
1440000 -22.6799 9 -205.491 81.8 -231.721 36.4 -8435.28 1325.07
1450000 -23.6382 9.8 -232.056 96.2 -238.518 37.4667 -8937.13 1403.82
1460000 -26.4337 11.2 -298.159 126.4 -249.388 38.6667 -9642.98 1495.11
1470000 -25.5207 10.8 -275.904 116.8 -248.436 38.5333 -9573.23 1484.89
1480000 -26.0817 11 -286.899 121 -247.505 38.6667 -9570.21 1495.11
1490000 -29.3937 12 -353.569 144.4 -247.479 38.6667 -9569.18 1495.11
1500000 -28.3401 11.6 -331.176 135.6 -247.615 38.6667 -9574.44 1495.11
1510000 -30.134 12.4 -374.12 154 -247.781 38.6667 -9580.86 1495.11
1520000 -29.5114 12 -354.137 144 -250.939 39.2 -9837.11 1536.71
1530000 -30.0436 12.2 -366.948 149 -252.234 39.3333 -9921.21 1547.11
1540000 -30.6788 12.4 -380.894 154 -252.907 39.3333 -9947.66 1547.11
1550000 -32.5807 13.4 -436.994 179.8 -248.017 38.8 -9623.41 1505.51
1560000 -35.2692 14.4 -508.588 207.6 -247.748 38.6667 -9579.6 1495.11
1570000 -33.6273 14 -470.782 196 -246.118 38.6667 -9516.57 1495.11
1580000 -29.0377 12.2 -354.596 149 -245.603 38.6667 -9496.64 1495.11
1590000 -24.2428 10.8 -262.107 116.8 -247.96 38.6667 -9587.79 1495.11
1600000 -23.9462 11 -264.424 121.4 -250.789 38.8 -9731.12 1505.51
1610000 -21.1367 9 -190.23 81 -254.069 39.3333 -9993.39 1547.11
1620000 -22.2896 9.2 -205.414 84.8 -252.563 39.3333 -9934.16 1547.11
1630000 -22.3271 9 -200.944 81 -251.611 39.3333 -9896.72 1547.11
1640000 -22.3078 9 -200.77 81 -255.111 39.3333 -10034.4 1547.11
1650000 -24.3886 9.8 -239.276 96.2 -255.048 39.4667 -10066.1 1557.69
1660000 -25.9138 10.6 -275.242 112.6 -257.312 40 -10292.5 1600
1670000 -27.3469 11 -300.816 121 -258.682 40 -10347.3 1600
1680000 -23.9847 9.8 -236.289 96.6 -258.382 40 -10335.3 1600
1690000 -22.2699 9 -200.429 81 -260.255 40 -10410.2 1600
1700000 -23.3966 9.6 -225.097 92.4 -261.329 40 -10453.2 1600
1710000 -28.112 11.8 -332.776 139.8 -258.535 40 -10341.4 1600
