# Time-averaged data for fix avg_out
# TimeStep v_n_ch4 v_n_co2 v_selectivity v_strain c_TempCO2
945000 15 31.0667 2.07097 -1.54626e-16 315.44
950000 15.4 31.8667 2.07098 -4.64984e-17 315.367
955000 14 32 2.28555 5.43995e-17 321.031
960000 13.2 32 2.42619 1.37045e-16 314.133
965000 13 32 2.46135 -2.88335e-17 319.891
970000 14.6 32 2.19882 -4.31068e-17 315.321
975000 15 31.6 2.11833 9.75632e-17 313.421
980000 15.8 31.3333 1.98739 8.9219e-17 319.495
985000 16 31.3333 1.95821 5.42135e-17 315.595
990000 16 31.3333 1.95821 3.50677e-17 316.94
995000 15.2 31.3333 2.06264 1.50874e-16 317.907
1000000 16 31.3333 1.95821 -1.76016e-16 318.802
1005000 16.2 31.3333 1.93517 3.56033e-17 315.93
1010000 17 31.3333 1.84303 -3.61512e-17 316.365
1015000 15.4 31.3333 2.03653 3.49119e-16 316.077
1020000 14.6 31.3333 2.14842 -1.83607e-16 315.179
1025000 14 31.3333 2.23794 2.26848e-16 315.257
1030000 14 31.3333 2.23794 -1.15018e-17 313.312
1035000 15 31.3333 2.08875 1.40657e-16 321.94
1040000 15 31.3333 2.08875 1.44773e-17 320.571
1045000 15 31.3333 2.08875 -3.53509e-18 318.989
1050000 16.6 31.3333 1.89217 1.26002e-16 312.815
1055000 16 31.3333 1.95821 3.25674e-17 313.6
1060000 14.8 31.3333 2.12232 -2.26064e-17 316.491
1065000 14 32 2.28555 8.63933e-17 312.908
1070000 14 32.5333 2.32364 -8.61512e-17 317.277
1075000 14.2 32.6667 2.30206 -9.06358e-17 314.89
1080000 14.2 32.9333 2.32111 4.98262e-17 314.265
1085000 14 33.3333 2.38078 3.60821e-17 317.035
1090000 14.8 32.8 2.21826 -1.62027e-20 315.798
1095000 14.4 32.6667 2.27095 6.48253e-17 318.65
1100000 15.2 32.6667 2.1543 -7.85768e-18 317.603
1105000 14.4 32.6667 2.27095 -8.00287e-17 315.1
1110000 14 32.6667 2.33317 -9.00831e-17 314.952
1115000 14 32.6667 2.33317 -7.14945e-17 316.679
1120000 14 32.9333 2.35221 1.39832e-16 316.855
1125000 15 33.3333 2.22207 -5.69821e-17 316.572
1130000 15 33.3333 2.22207 7.92664e-17 310.247
1135000 15.6 33.3333 2.13875 1.07813e-16 311.456
1140000 16 33.6 2.09987 5.68469e-17 314.299
1145000 15.8 34.1333 2.16209 -2.07138e-16 319.38
1150000 15 34.6667 2.31096 -3.9422e-18 318.123
1155000 15 34.6667 2.31096 -6.48838e-17 320.163
1160000 15.4 34.6667 2.25319 -4.6325e-17 312.415
1165000 16 34.6667 2.16653 6.14153e-17 320.255
1170000 16 34.6667 2.16653 1.36245e-16 313.775
1175000 17 34.6667 2.0391 7.10238e-17 318.296
1180000 17 34.6667 2.0391 -1.46934e-16 323.852
1185000 16.8 34.6667 2.06458 1.62851e-16 316.172
1190000 16 34.6667 2.16653 -1.01279e-16 315.923
1195000 16 34.6667 2.16653 4.54182e-17 314.265
1200000 16 34.6667 2.16653 -1.57747e-16 321.583
1205000 16.4 35.3333 2.15624 -6.43173e-17 316.422
1210000 16.8 35.3333 2.10429 -1.68231e-16 318.619
1215000 16.8 35.3333 2.10429 6.45339e-17 315.953
1220000 17.2 35.3333 2.0581 -1.68224e-16 311.486
1225000 16.6 35.3333 2.1395 -2.89074e-17 319.363
1230000 15.4 35.3333 2.29652 -1.08984e-17 315.596
1235000 14.4 35.3333 2.45634 -1.10014e-17 316.143
1240000 13.2 35.3333 2.67892 6.82686e-17 314.925
1245000 12.8 35.7333 2.79465 -1.29233e-16 317.598
1250000 12 36 2.99975 -1.18383e-16 313.634
1255000 12 36 2.99975 2.16981e-17 319.218
1260000 12 36 2.99975 1.78524e-17 319.372
1265000 12 36 2.99975 1.53238e-16 317.007
1270000 12 36 2.99975 9.37378e-17 313.483
1275000 11.4 36 3.16336 1.8412e-16 317.077
1280000 11 36 3.27243 9.32021e-17 315.406
1285000 10.4 36 3.46876 2.87605e-17 315.742
1290000 10 36.2667 3.6263 1.17854e-16 313.005
1295000 10.6 36.6667 3.46634 1.38313e-17 311.361
1300000 11 36.6667 3.33303 -1.78379e-17 317.717
1305000 10.4 36.6667 3.53299 6.07556e-17 319.644
1310000 10.4 36.6667 3.53299 1.55001e-16 320.923
1315000 10.8 36.6667 3.39968 1.57689e-16 320.121
1320000 8.8 36.6667 4.19581 -1.08149e-17 313.532
1325000 8.4 36.6667 4.39947 1.49358e-19 310.949
1330000 10 36.6667 3.6663 -5.35656e-17 316.438
1335000 10 36.6667 3.6663 3.83813e-18 318.341
1340000 10 36.6667 3.6663 -4.27053e-17 316.966
1345000 10.6 36.6667 3.46634 2.163e-17 316.06
1350000 10.6 36.1333 3.41543 -7.9099e-17 319.172
1355000 10 36 3.59964 -4.31196e-17 316.423
1360000 10 36 3.59964 -9.33899e-17 317.561
1365000 10.6 36 3.40331 -7.02766e-18 313.783
1370000 11 36 3.27243 -1.97803e-16 319.977
1375000 11 36 3.27243 -3.23873e-17 318.303
1380000 11 36 3.27243 6.86019e-17 313.523
1385000 10.8 36 3.33787 -1.79499e-16 320.59
1390000 10.8 36 3.33787 3.96269e-17 318.073
1395000 12 36 2.99975 3.57147e-17 313.307
1400000 12 36 2.99975 -7.82467e-17 317.295
1405000 12 36 2.99975 -5.40315e-17 323.046
1410000 11.6 36 3.10882 -1.40142e-16 317.308
1415000 11 36 3.27243 1.64484e-16 314.062
1420000 9 36 4.05408 1.19009e-16 315.655
1425000 8.2 36 4.39946 9.34659e-17 318.262
1430000 9 36 3.99956 -1.61258e-16 314.731
1435000 8.2 36.1333 4.41427 1.68125e-16 316.899
1440000 9.8 36.6667 3.74776 3.26601e-17 317.291
1445000 9.6 37.3333 3.89885 1.56926e-16 320.253
1450000 10 37.6 3.75962 9.31473e-17 313.857
1455000 10.4 38.6667 3.73741 -3.92813e-17 318.005
1460000 12 38.6667 3.22195 1.12159e-17 314.451
1465000 11 38.4 3.49059 2.45621e-17 318.009
1470000 10.6 38.6667 3.65541 -1.06615e-16 313.695
1475000 11 38.6667 3.51483 -1.35702e-16 315.53
1480000 11 38.6667 3.51483 -8.53675e-17 317.206
1485000 12.2 38.6667 3.17239 -1.09219e-17 320.296
1490000 11.8 38.6667 3.28954 -1.07562e-16 314.685
1495000 10.8 38.6667 3.59684 9.64407e-17 316.485
1500000 12.4 38.6667 3.12282 -8.96465e-17 316.465
1505000 12.8 38.6667 3.02369 -2.28686e-16 312.848
1510000 12 38.6667 3.22195 -1.07963e-17 318.443
1515000 12 39.0667 3.25528 1.451e-17 316.683
1520000 12 39.3333 3.2775 1.24683e-16 317.173
1525000 12.4 39.3333 3.17667 -5.35626e-17 316.904
1530000 12 39.3333 3.2775 1.68527e-16 319.952
1535000 12 39.3333 3.2775 -1.33292e-17 315.211
1540000 12.8 39.3333 3.07583 4.65956e-17 316.543
1545000 13 38.9333 2.99464 6.35153e-17 318.388
1550000 13.8 38.6667 2.80419 5.28304e-17 317.1
1555000 14 38.6667 2.76171 5.75313e-17 314.178
1560000 14.8 38.6667 2.61443 1.44702e-17 314.517
1565000 14 38.6667 2.76171 -4.23609e-17 315.787
1570000 14 38.6667 2.76171 -1.07197e-16 318.893
1575000 12.2 38.6667 3.17239 -5.3472e-17 317.798
1580000 12.2 38.6667 3.17239 2.51726e-17 316.996
1585000 10.8 38.6667 3.58512 -3.58583e-17 318.583
1590000 10.8 38.6667 3.58512 1.10565e-16 318.546
1595000 11.4 38.6667 3.39768 -8.91188e-17 320.803
1600000 10.6 38.9333 3.68208 1.43236e-17 317.976
1605000 9 39.3333 4.36988 8.9767e-17 316.033
1610000 9 39.3333 4.36988 -9.70186e-17 317.63
1615000 9.2 39.3333 4.2825 -3.59507e-17 318.47
1620000 9.2 39.3333 4.2825 -8.93711e-17 316.19
1625000 9 39.3333 4.36988 -2.89759e-18 318.456
1630000 9 39.3333 4.36988 -9.30075e-17 316.767
1635000 9 39.3333 4.36988 -1.03607e-16 318.307
1640000 9 39.3333 4.36988 -8.84551e-17 318.359
1645000 9.6 39.3333 4.10772 1.38734e-16 313.368
1650000 10 39.6 3.9596 5.66649e-17 318.313
1655000 10.2 40 3.92689 4.35031e-17 313.558
1660000 11 40 3.63603 -1.67073e-16 317.329
1665000 11 40 3.63603 3.23417e-17 313.633
1670000 11 40 3.63603 1.31656e-16 319.312
1675000 10.4 40 3.85417 -1.70869e-17 317.625
1680000 9.2 40 4.35508 2.81562e-17 312.201
1685000 9 40 4.44395 -1.49634e-16 313.268
1690000 9 40 4.44395 -1.13855e-16 316.312
1695000 9.2 40 4.35508 5.69156e-17 318.768
1700000 10 40 3.9996 2.46706e-17 316.396
1705000 11.2 40 3.57544 1.56501e-16 316.957
1710000 12.4 40 3.23051 -1.42248e-17 318.526
