# Time-averaged data for fix msd_out
# TimeStep c_msd_c[4]
16550000 1.84415
16555000 2.41918
16560000 1.88614
16565000 1.66386
16570000 1.9572
16575000 1.68992
16580000 2.18151
16585000 1.80425
16590000 1.96588
16595000 1.81087
16600000 2.13598
16605000 1.97445
16610000 1.6549
16615000 1.90812
16620000 1.79804
16625000 1.69151
16630000 1.91417
16635000 1.79454
16640000 1.65021
16645000 2.10634
16650000 2.21476
16655000 1.91981
16660000 2.25426
16665000 1.68474
16670000 1.85679
16675000 1.96168
16680000 1.67508
16685000 1.86096
16690000 2.15554
16695000 1.77037
16700000 2.51937
16705000 1.71385
16710000 1.88642
16715000 1.85461
16720000 1.80392
16725000 1.75103
16730000 1.86472
16735000 1.65649
16740000 1.93855
16745000 1.88211
16750000 1.85823
16755000 1.74638
16760000 1.93983
16765000 1.8387
16770000 1.72835
16775000 1.74403
16780000 1.97094
16785000 1.77708
16790000 1.85337
16795000 1.70349
16800000 2.11685
16805000 2.26877
16810000 1.68775
16815000 2.18143
16820000 2.27571
16825000 1.84969
16830000 1.7585
16835000 2.07803
16840000 1.77924
16845000 1.76755
16850000 1.89908
16855000 1.60458
16860000 1.64727
16865000 1.53522
16870000 1.71961
16875000 1.61943
16880000 1.79096
16885000 1.92478
16890000 1.93191
16895000 1.84629
16900000 2.01218
16905000 2.23321
16910000 2.27698
16915000 2.16982
16920000 1.83879
16925000 2.14809
16930000 1.89791
16935000 1.84843
16940000 1.73867
16945000 2.2341
16950000 2.02585
16955000 1.91501
16960000 1.87895
16965000 1.77086
16970000 2.09211
16975000 1.88206
16980000 2.10426
16985000 1.82875
16990000 1.62574
16995000 2.25477
17000000 1.87402
17005000 1.50106
17010000 2.08541
17015000 1.99654
17020000 2.72623
17025000 1.95741
17030000 1.7066
17035000 1.71402
17040000 1.98408
17045000 1.75689
17050000 2.31709
17055000 1.87671
17060000 1.96401
17065000 1.71747
17070000 2.02676
17075000 1.81857
17080000 1.54497
17085000 1.51231
17090000 1.60743
17095000 1.5469
17100000 1.81112
17105000 1.72864
17110000 1.79781
17115000 1.49799
17120000 2.0433
17125000 1.89449
17130000 1.90597
17135000 1.9877
17140000 1.94407
17145000 1.7164
17150000 2.09957
17155000 1.68424
17160000 2.14497
17165000 2.06543
17170000 1.72148
17175000 2.21359
17180000 1.69944
17185000 2.0097
17190000 1.86474
17195000 2.047
17200000 1.7035
17205000 1.9239
17210000 2.00763
17215000 2.66321
17220000 1.62641
17225000 1.81508
17230000 1.48935
17235000 2.02236
17240000 2.11956
17245000 2.01121
17250000 1.76458
17255000 1.61778
17260000 1.6048
17265000 1.73197
17270000 1.67783
17275000 1.5503
17280000 1.55435
17285000 1.83665
17290000 1.99043
17295000 1.86394
17300000 2.17589
17305000 1.68192
17310000 1.85139
17315000 1.71242
17320000 2.01964
17325000 2.14314
17330000 2.24242
17335000 2.1714
17340000 2.20169
17345000 2.308
17350000 1.84574
17355000 1.75229
17360000 2.05101
17365000 2.32223
17370000 1.73498
17375000 1.54453
17380000 1.9312
17385000 1.62403
17390000 1.65611
17395000 1.63215
17400000 2.57917
17405000 1.8536
17410000 2.16606
17415000 1.60631
17420000 1.90389
17425000 1.93123
17430000 1.77159
17435000 1.79082
17440000 2.30111
17445000 2.00422
17450000 1.5377
17455000 1.72102
17460000 1.62017
17465000 1.84263
17470000 1.67768
17475000 1.66627
17480000 1.72094
17485000 2.04271
17490000 1.99799
17495000 1.58819
17500000 1.73971
17505000 1.54336
17510000 1.73169
17515000 1.8065
17520000 1.49321
17525000 1.83313
17530000 1.68122
17535000 2.19233
17540000 2.21452
17545000 1.73406
17550000 1.93246
17555000 1.75267
17560000 2.00242
17565000 1.63071
17570000 1.60081
17575000 1.75404
