# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_cc[1] c_rdf_cc[2] c_rdf_cc[3] c_rdf_cc[4] c_rdf_cc[5] c_rdf_cc[6] c_rdf_cc[7] c_rdf_cc[8] c_rdf_cc[9] c_rdf_cc[10] c_rdf_cc[11] c_rdf_cc[12] c_rdf_cc[13]
12000000 200
131 7.83 1.07728 3 0.935224 12.2385 0.352403 3.08571 0.17193 4.74 0 0 0.965716 60.1851
132 7.89 0 3 0.995734 12.5462 1.38826 3.2 1.01595 4.86 0 0 1.02583 61.8239
133 7.95 0.522503 3.05 0.858166 12.8154 0.341845 3.22857 0.667116 4.94 0 0 0.966229 63.391
134 8.01 1.28676 3.175 1.11104 13.1692 2.02046 3.4 1.15003 5.08 0 0 0.998945 65.0358
135 8.07 0.76062 3.25 0.90422 13.4615 1.32702 3.51429 0.809279 5.18 0 0 1.02969 66.7567
136 8.13 1.49887 3.4 1.17227 13.8462 1.3075 3.62857 0.637902 5.26 0 0 1.04359 68.5269
137 8.19 0.984659 3.5 1.08584 14.2077 1.28841 3.74286 0.942885 5.38 0 0 1.02055 70.2836
138 8.25 0.727791 3.575 1.0018 14.5462 0.952307 3.82857 0.61948 5.46 0 0 1.0613 72.1373
139 8.31 0.956426 3.675 0.987389 14.8846 0.938605 3.91429 0.610567 5.54 0 0 1.07298 74.0388
140 8.37 0.235691 3.7 0.951163 15.2154 1.54199 4.05714 0.902767 5.66 0 0 1.0643 75.9522
141 8.43 0.697043 3.775 0.65419 15.4462 1.52012 4.2 1.18662 5.82 0 0 1.04593 77.8597
142 8.49 0.458151 3.825 0.752472 15.7154 0.599485 4.25714 1.1699 5.98 0 0 0.968258 79.6507
143 8.55 1.35523 3.975 0.953933 16.0615 0.29555 4.28571 0.720964 6.08 0 0 1.0295 81.5821
144 8.61 0.222734 4 1.14973 16.4846 1.45723 4.42857 0.42657 6.14 0 0 1.00265 83.4896
145 8.67 1.09831 4.125 0.824631 16.7923 1.1497 4.54286 0.280458 6.18 0 0 1.02441 85.4657
146 8.73 0.216653 4.15 0.813335 17.1 1.41744 4.68571 0.829848 6.3 0 0 1.07143 87.5612
147 8.79 0.213706 4.175 0.802269 17.4077 1.95742 4.88571 0.954984 6.44 0 0 1.02223 89.5881
148 8.85 0.843271 4.275 0.890356 17.7538 1.10341 5 1.48041 6.66 0 0 1.05965 91.7179
149 8.91 0.415976 4.325 1.03457 18.1615 1.36075 5.14286 0.663881 6.76 0 0 1.02858 93.8134
150 8.97 1.4365 4.5 0.982252 18.5538 1.07409 5.25714 0.786035 6.88 0 0 1.03944 95.9597
151 9.03 0.404994 4.55 0.874219 18.9077 1.05986 5.37143 1.16344 7.06 0 0 1.01355 98.0806
152 9.09 0.399665 4.6 0.768943 19.2231 1.83035 5.57143 1.2757 7.26 0 0 1.05723 100.322
153 9.15 1.57776 4.8 0.962496 19.6231 0.774182 5.65714 0.881316 7.4 0 0 0.97116 102.409
154 9.21 0.973295 4.925 0.767305 19.9462 2.29238 5.91429 0.372802 7.46 0 0 1.0614 104.719
155 9.27 0.76859 5.025 0.919705 20.3385 0.754268 6 1.10397 7.64 0 0 1.03755 107.007
156 9.33 0.189684 5.05 0.979123 20.7615 0.744598 6.08571 1.08982 7.82 0 0 1.02959 109.307
157 9.39 0.561803 5.125 1.12483 21.2538 0.245038 6.11429 0.956389 7.98 13.1504 0.2 1.01911 111.613
158 9.45 1.10938 5.275 0.832944 21.6231 0.967744 6.22857 1.06232 8.16 0 0.2 1.03552 113.987
159 9.51 1.09543 5.425 0.976679 22.0615 1.43336 6.4 0.932406 8.32 0 0.2 1.01607 116.345
160 9.57 0.901447 5.55 0.727583 22.3923 0.943626 6.51429 0.690563 8.44 0 0.2 1.06623 118.851
161 9.63 0.534149 5.625 1.08617 22.8923 2.09679 6.77143 0.681985 8.56 0 0.2 1.05299 121.357
162 9.69 0.527555 5.7 1.03976 23.3769 1.3806 6.94286 0.673565 8.68 0 0.2 1.07158 123.939
163 9.75 0.694776 5.8 0.961791 23.8308 0.454553 7 0.221767 8.72 0 0.2 1.00092 126.381
164 9.81 0.514727 5.875 0.982268 24.3 0.89802 7.11429 1.09531 8.92 0 0.2 1.03465 128.936
165 9.87 0.338992 5.925 0.938547 24.7538 0.665351 7.2 1.19024 9.14 0 0.2 1.01494 131.473
166 9.93 1.17218 6.1 1.06868 25.2769 0.657335 7.28571 0.7483 9.28 0 0.2 1.01156 134.033
167 9.99 0.661795 6.2 1.04036 25.7923 0.216488 7.31429 1.0562 9.48 0 0.2 1.03558 136.685
168 10.05 0.653916 6.3 0.981942 26.2846 0.855642 7.42857 0.417449 9.56 0 0.2 0.967393 139.193
