# Chunk-averaged data for fix density_out and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
17000000 30 3640
  14 4.18633 126 1.2689
  15 5.18633 135 1.35791
  16 6.18633 124 1.12139
  17 7.18633 119 1.08011
  18 8.18633 123 1.18397
  19 9.18633 148 1.54681
  20 10.1863 109 1.11625
  21 11.1863 118 1.22756
  22 12.1863 123 1.17895
  23 13.1863 108 1.01008
  24 14.1863 129 1.3216
  25 15.1863 112 1.1738
  26 16.1863 123 1.32022
  27 17.1863 125 1.23158
  28 18.1863 113 1.11751
  29 19.1863 120 1.0451
  30 20.1863 96 0.861072
17210000 30 3640
  1 -8.81367 108 1.07474
  2 -7.81367 142 1.43968
  3 -6.81367 115 1.13653
  4 -5.81367 124 1.2211
  5 -4.81367 127 1.206
  6 -3.81367 130 1.36886
  7 -2.81367 125 1.2653
  8 -1.81367 130 1.30063
  9 -0.813671 114 1.07365
  10 0.186329 110 1.1251
  11 1.18633 108 1.15936
  12 2.18633 134 1.21374
  13 3.18633 122 1.2099
  14 4.18633 126 1.23375
  15 5.18633 128 1.2225
  16 6.18633 124 1.18709
  17 7.18633 121 1.10634
  18 8.18633 125 1.20984
  19 9.18633 141 1.51912
  20 10.1863 121 1.24015
  21 11.1863 105 1.10733
  22 12.1863 119 1.16566
  23 13.1863 115 1.08358
  24 14.1863 133 1.34124
  25 15.1863 118 1.17323
  26 16.1863 115 1.17817
  27 17.1863 121 1.30447
  28 18.1863 121 1.25403
  29 19.1863 116 0.993989
  30 20.1863 102 0.964821
17220000 30 3640
  1 -8.81367 92 0.94058
  2 -7.81367 152 1.47139
  3 -6.81367 119 1.16585
  4 -5.81367 119 1.17952
  5 -4.81367 116 1.11699
  6 -3.81367 142 1.42756
  7 -2.81367 127 1.29093
  8 -1.81367 122 1.23715
  9 -0.813671 117 1.08455
  10 0.186329 114 1.11592
  11 1.18633 110 1.05328
  12 2.18633 129 1.24598
  13 3.18633 134 1.32119
  14 4.18633 119 1.16959
  15 5.18633 129 1.24973
  16 6.18633 113 1.12333
  17 7.18633 121 1.06455
  18 8.18633 116 1.04823
  19 9.18633 154 1.63536
  20 10.1863 122 1.20847
  21 11.1863 109 1.15814
  22 12.1863 120 1.11331
  23 13.1863 119 1.24109
  24 14.1863 125 1.19342
  25 15.1863 113 1.19339
  26 16.1863 114 1.1971
  27 17.1863 130 1.27725
  28 18.1863 121 1.34988
  29 19.1863 126 1.04084
  30 20.1863 96 0.862809
17230000 30 3640
  1 -8.81367 93 0.988068
  2 -7.81367 153 1.41238
  3 -6.81367 112 1.08943
  4 -5.81367 129 1.28353
  5 -4.81367 122 1.13279
  6 -3.81367 143 1.37265
  7 -2.81367 118 1.2563
  8 -1.81367 135 1.22925
  9 -0.813671 113 1.15754
  10 0.186329 108 0.986949
  11 1.18633 107 1.15258
  12 2.18633 142 1.19719
  13 3.18633 126 1.3665
  14 4.18633 137 1.22313
  15 5.18633 124 1.22181
  16 6.18633 122 1.13526
  17 7.18633 121 1.06606
  18 8.18633 122 1.10941
  19 9.18633 146 1.48895
  20 10.1863 123 1.26375
  21 11.1863 112 1.18575
  22 12.1863 112 1.03644
  23 13.1863 132 1.31824
  24 14.1863 121 1.23555
  25 15.1863 114 1.14874
  26 16.1863 120 1.20191
  27 17.1863 123 1.27378
  28 18.1863 113 1.06236
  29 19.1863 111 1.00791
  30 20.1863 86 0.727229
17240000 30 3640
  1 -8.81367 103 1.05435
  2 -7.81367 131 1.25311
  3 -6.81367 129 1.29529
  4 -5.81367 134 1.29042
  5 -4.81367 130 1.23794
  6 -3.81367 129 1.36535
  7 -2.81367 118 1.1941
  8 -1.81367 139 1.2605
  9 -0.813671 102 1.10308
  10 0.186329 110 0.955765
  11 1.18633 110 1.14309
  12 2.18633 128 1.17056
  13 3.18633 136 1.3867
  14 4.18633 113 1.09051
  15 5.18633 127 1.25924
  16 6.18633 130 1.20679
  17 7.18633 118 1.08939
  18 8.18633 118 1.14559
