# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_cc[1] c_rdf_cc[2] c_rdf_cc[3] c_rdf_cc[4] c_rdf_cc[5] c_rdf_cc[6] c_rdf_cc[7] c_rdf_cc[8] c_rdf_cc[9] c_rdf_cc[10] c_rdf_cc[11] c_rdf_cc[12] c_rdf_cc[13]
17000000 200
140 8.37 0.237154 3.275 0.868037 14.9846 1.55156 3.82857 0.756975 5.86 0 0 1.0851 74.8985
141 8.43 0.23379 3.3 0.680192 15.2231 0.917734 3.91429 0.298495 5.9 0 0 1.02524 76.7567
142 8.49 0.691491 3.375 0.778775 15.5 2.71442 4.17143 0.735728 6 0 0 1.04003 78.6687
143 8.55 1.36364 3.525 0.789213 15.7846 1.78431 4.34286 1.30579 6.18 0 0 1.06791 80.6597
144 8.61 0.448234 3.575 0.946523 16.1308 0.586509 4.4 0.715363 6.28 0 0 1.0365 82.6194
145 8.67 1.10513 3.7 0.995698 16.5 0.867629 4.48571 0.846595 6.4 0 0 1.02221 84.5791
146 8.73 0.435996 3.75 0.859302 16.8231 0 4.48571 0.695832 6.5 0 0 1.09651 86.7104
147 8.79 0.645096 3.825 0.645799 17.0692 1.12547 4.6 1.37273 6.7 0 0 1.04751 88.7746
148 8.85 0.636379 3.9 1.01533 17.4615 1.11026 4.71429 0.67709 6.8 0 0 1.03111 90.8343
149 8.91 1.46495 4.075 0.982063 17.8462 1.09536 4.82857 0.801602 6.92 0 0 1.01064 92.8806
150 8.97 0.619466 4.15 0.891452 18.2 1.08075 4.94286 0.922733 7.06 0 0 1.00298 94.9388
151 9.03 0.611261 4.225 0.937013 18.5769 1.59966 5.11429 1.30073 7.26 0 0 1.06721 97.1582
152 9.09 1.60858 4.425 1.03791 19 1.31551 5.25714 0.385085 7.32 0 0 1.04254 99.3552
153 9.15 0.992222 4.55 0.912597 19.3769 1.03865 5.37143 1.01347 7.48 0 0 1.04778 101.593
154 9.21 1.1752 4.7 0.827215 19.7231 1.53774 5.54286 1.00031 7.64 0 0 1.02797 103.816
155 9.27 0.58002 4.775 1.1613 20.2154 1.26492 5.68571 1.23425 7.84 0 0 1.02969 106.073
156 9.33 0.572584 4.85 0.931462 20.6154 2.4974 5.97143 0.731056 7.96 0 0 1.06018 108.427
157 9.39 0.56529 4.925 0.990334 21.0462 0.246558 6 0.842034 8.1 0 0 1.03208 110.748
158 9.45 0.37209 4.975 1.11748 21.5385 0.730312 6.08571 0.356304 8.16 0 0 1.03802 113.112
159 9.51 0.918523 5.1 0.844812 21.9154 0.480751 6.14286 1.05547 8.34 0 0 1.03725 115.504
160 9.57 0.544225 5.175 1.02153 22.3769 1.6616 6.34286 0.810657 8.48 0 0 0.997452 117.834
161 9.63 0.179155 5.2 0.992029 22.8308 0.937688 6.45714 1.02933 8.66 0 0 1.02103 120.249
162 9.69 0.884716 5.325 0.797111 23.2 0.926112 6.57143 0.790703 8.8 12.4253 0.2 1.02837 122.712
163 9.75 0.699088 5.425 1.08258 23.7077 1.60081 6.77143 0.892573 8.96 0 0.2 1.01144 125.164
164 9.81 0.690563 5.525 0.923553 24.1462 1.12949 6.91429 0.881688 9.12 0 0.2 1.02708 127.685
165 9.87 1.19384 5.7 1.12044 24.6846 1.78528 7.14286 0.871001 9.28 0 0.2 1.01103 130.197
166 9.93 0.50548 5.775 1.09113 25.2154 0.881887 7.25714 0.968071 9.46 0 0.2 1.00063 132.713
167 9.99 0.332951 5.825 0.781204 25.6 0.653494 7.34286 0.637652 9.58 0 0.2 1.0725 135.443
168 10.05 0.657975 5.925 0.849094 26.0231 0.645714 7.42857 1.0501 9.78 0 0.2 1.00469 138.031
169 10.11 0.162547 5.95 0.79328 26.4231 1.06345 7.57143 1.24521 10.02 0 0.2 0.98936 140.61
170 10.17 0.160635 5.975 1.10054 26.9846 0.210189 7.6 1.5382 10.32 0 0.2 0.977721 143.19
171 10.23 0.317512 6.025 0.938674 27.4692 0.623191 7.68571 0.608083 10.44 0 0.2 1.04905 145.99
172 10.29 0.31382 6.075 0.957212 27.9692 0.82126 7.8 0.500844 10.54 0 0.2 0.975499 148.624
173 10.35 1.39586 6.3 0.887921 28.4385 1.21765 7.97143 0.891097 10.72 0 0.2 1.01667 151.401
174 10.41 0.766567 6.425 0.834549 28.8846 0.401217 8.02857 1.0766 10.94 0 0.2 0.990941 154.14
175 10.47 1.36405 6.65 1.12372 29.4923 0.99158 8.17143 1.35456 11.22 0 0.2 1.01538 156.979
176 10.53 1.19871 6.85 1.04064 30.0615 1.96063 8.45714 0.573929 11.34 0 0.2 1.03182 159.897
177 10.59 1.48146 7.1 0.973266 30.6 0.969236 8.6 1.13489 11.58 0 0.2 0.980501 162.701
178 10.65 0.878888 7.25 0.866097 31.0846 0.958346 8.74286 1.6832 11.94 0 0.2 1.01695 165.643
179 10.71 0.869068 7.4 0.85642 31.5692 0.947638 8.88571 0.462332 12.04 0 0.2 1.00865 168.594
180 10.77 0.716176 7.525 1.16954 32.2385 0.937109 9.02857 0.640074 12.18 0 0.2 1.02923 171.639
181 10.83 0.991568 7.7 0.983785 32.8077 1.29746 9.22857 0.813859 12.36 0 0.2 1.01985 174.69
182 10.89 0.70048 7.825 1.06501 33.4308 0.549942 9.31429 1.43096 12.68 0 0.2 0.977557 177.646
183 10.95 0.692825 7.95 0.897318 33.9615 1.99442 9.62857 1.59224 13.04 0 0.2 1.01617 180.754
184 11.01 1.09647 8.15 0.939018 34.5231 0.717359 9.74286 0.787465 13.22 0 0.2 1.03216 183.945
185 11.07 1.22019 8.375 0.928866 35.0846 1.06441 9.91429 1.5579 13.58 0 0.2 1.00476 187.085
186 11.13 0.670596 8.5 0.918878 35.6462 0.877468 10.0571 1.28429 13.88 9.41815 0.4 0.977897 190.175
187 11.19 0.796109 8.65 0.921504 36.2154 0.868083 10.2 1.10115 14.14 9.31743 0.6 0.987068 193.327
188 11.25 0.918913 8.825 0.88706 36.7692 1.37416 10.4286 0.502817 14.26 0 0.6 0.95391 196.406
189 11.31 1.16896 9.05 1.06052 37.4385 0.509856 10.5143 1.24374 14.56 0 0.6 0.977213 199.594
190 11.37 0.899619 9.225 0.98905 38.0692 0.504489 10.6 1.23065 14.86 0 0.6 0.988655 202.854
191 11.43 0.635857 9.35 1.05031 38.7462 0.832011 10.7429 0.974209 15.1 0 0.6 1.0119 206.225
192 11.49 1.38431 9.625 1.06299 39.4385 1.64669 11.0286 1.0444 15.36 0 0.6 0.981411 209.53
193 11.55 1.24543 9.875 1.19223 40.2231 0.977775 11.2 1.11308 15.64 0 0.6 0.982647 212.873
