# Time-averaged data for fix msd_out
# TimeStep c_msd_c[4]
18400000 0.881322
18405000 0.856675
18410000 0.992326
18415000 0.779982
18420000 0.883108
18425000 0.793293
18430000 1.06571
18435000 0.804925
18440000 0.731797
18445000 0.896552
18450000 0.903788
18455000 0.749277
18460000 0.911982
18465000 1.03667
18470000 0.991868
18475000 0.941443
18480000 1.01954
18485000 1.28372
18490000 0.784588
18495000 0.887808
18500000 0.962319
18505000 0.819982
18510000 0.8358
18515000 0.739671
18520000 0.815989
18525000 0.649386
18530000 1.06125
18535000 0.618523
18540000 0.948305
18545000 0.737847
18550000 0.951983
18555000 0.857237
18560000 1.05509
18565000 0.853255
18570000 0.944264
18575000 0.788774
18580000 0.7967
18585000 0.833166
18590000 0.848148
18595000 0.964217
18600000 0.818612
18605000 0.822157
18610000 0.622698
18615000 0.920367
18620000 0.707617
18625000 0.865694
18630000 0.945484
18635000 0.689819
18640000 0.977034
18645000 0.816783
18650000 0.84126
18655000 1.01054
18660000 0.840221
18665000 1.25157
18670000 0.940615
18675000 0.870374
18680000 1.13457
18685000 0.977999
18690000 0.926593
18695000 0.819768
18700000 0.795799
18705000 0.843411
18710000 1.11312
18715000 0.788911
18720000 0.979769
18725000 0.887787
18730000 0.782839
18735000 1.07725
18740000 0.813459
18745000 0.741983
18750000 0.749453
18755000 0.805842
18760000 0.81378
18765000 1.44419
18770000 0.712903
18775000 1.13955
18780000 0.970386
18785000 1.07416
18790000 0.765104
18795000 0.821548
18800000 0.85281
18805000 0.795079
18810000 1.3006
18815000 0.992416
18820000 0.647163
18825000 0.835802
18830000 0.633631
18835000 0.977686
18840000 0.741578
18845000 0.784338
18850000 0.961485
18855000 1.01277
18860000 1.18338
18865000 0.785483
18870000 0.9892
18875000 0.935479
18880000 0.84648
18885000 0.757682
18890000 0.870306
18895000 0.693643
18900000 0.837893
18905000 0.794094
18910000 0.953592
18915000 1.16055
18920000 0.880426
18925000 0.970222
18930000 0.690883
18935000 0.923447
18940000 0.815065
18945000 0.930799
18950000 0.910273
18955000 0.972058
18960000 1.07907
18965000 1.18713
18970000 1.02692
18975000 0.88737
18980000 1.08705
18985000 0.853115
18990000 0.738889
18995000 1.0702
19000000 0.888883
19005000 0.727132
19010000 0.785073
19015000 0.574468
19020000 0.840724
19025000 0.898767
19030000 0.871575
19035000 0.982946
19040000 1.33889
19045000 0.884723
19050000 0.732307
19055000 0.980137
19060000 1.05282
19065000 0.884066
19070000 0.75529
19075000 0.902229
19080000 0.910379
19085000 0.847954
19090000 0.91486
19095000 0.799342
19100000 0.801685
19105000 0.949308
19110000 0.906757
19115000 0.846318
19120000 0.854765
19125000 0.760223
19130000 0.677504
19135000 0.825979
19140000 0.895653
19145000 0.933331
19150000 0.858687
19155000 0.722741
19160000 1.05841
19165000 0.992296
19170000 0.811921
19175000 1.26315
19180000 1.22754
19185000 1.0969
19190000 0.841656
19195000 0.983675
19200000 0.745475
19205000 1.16007
19210000 0.868741
19215000 0.944578
19220000 1.04211
19225000 0.791371
19230000 0.744946
19235000 0.90468
19240000 0.764375
19245000 0.80086
19250000 0.778186
19255000 0.70516
19260000 0.762645
19265000 0.754231
19270000 0.925289
19275000 1.42282
19280000 1.14359
19285000 1.00412
19290000 1.25183
19295000 0.867603
19300000 0.922984
19305000 0.865803
19310000 0.856246
19315000 0.993729
19320000 0.943852
19325000 0.960615
19330000 1.02563
19335000 0.879475
19340000 0.874659
19345000 0.983317
19350000 0.724691
19355000 0.889587
19360000 0.857986
19365000 0.937592
19370000 0.794673
19375000 1.36356
19380000 0.739627
19385000 0.67368
19390000 0.792953
19395000 0.813111
19400000 0.918729
19405000 0.801805
19410000 0.988195
19415000 0.821801
19420000 1.03981
19425000 0.71184
19430000 0.785716
19435000 0.934469
19440000 1.02609
19445000 0.98673
19450000 0.876106
19455000 0.862596
19460000 0.739575
19465000 0.868614
19470000 0.92155
19475000 1.13888
19480000 0.73202
19485000 1.1528
19490000 0.866643
19495000 0.944643
19500000 0.92174
19505000 0.872517
19510000 0.67112
19515000 0.79146
19520000 0.9411
19525000 0.884442
