# Time-averaged data for fix data_out
# TimeStep c_thermo_temp c_thermo_press v_density v_vol
17846000 318.501 -833.004 1.20389 39454.9
17848000 308.567 291.007 1.197 39681.9
17850000 315.28 460.488 1.20382 39457.1
17852000 309.673 579.959 1.19569 39725.5
17854000 317.881 862.776 1.2143 39116.5
17856000 304.692 -2386.4 1.20078 39556.9
17858000 314.529 161.523 1.20316 39478.9
17860000 319.792 1539.84 1.20592 39388.6
17862000 311.03 868.897 1.21012 39251.6
17864000 313.027 1499.26 1.21198 39191.5
17866000 312.247 287.665 1.20652 39369
17868000 313.121 -71.6644 1.20822 39313.6
17870000 311.621 -271.968 1.21165 39202.2
17872000 313.291 -214.24 1.21478 39101.1
17874000 323.776 2485.7 1.21535 39082.8
17876000 313.067 2799.11 1.20654 39368.1
17878000 317.294 583.606 1.19756 39663.4
17880000 312.726 -1292.26 1.19763 39661.1
17882000 317.187 -4263.59 1.19917 39610.1
17884000 306.768 -688.343 1.19047 39899.8
17886000 311.586 -2294.35 1.2128 39164.9
17888000 311.607 469.603 1.20591 39388.7
17890000 308.48 -165.025 1.19891 39618.8
17892000 312.303 1808.63 1.20253 39499.7
17894000 315.408 1791.13 1.20242 39503.1
17896000 317.147 -982.362 1.18669 40026.8
17898000 311.085 -941.12 1.20522 39411.2
17900000 312.953 960.747 1.21387 39130.7
17902000 306.506 -1585.5 1.19852 39631.8
17904000 314.036 -427.519 1.18431 40107
17906000 308.432 514.899 1.19397 39782.7
17908000 317.295 -737.02 1.20429 39441.8
17910000 312.198 93.7442 1.20911 39284.6
17912000 312.456 -399.844 1.19895 39617.4
17914000 313.188 1878.12 1.19903 39614.8
17916000 312.01 2135.06 1.19232 39837.7
17918000 305.637 -484.277 1.1994 39602.7
17920000 313.024 -1935.52 1.18969 39926
17922000 314.223 -1362.88 1.19921 39608.8
17924000 314.351 -1267.8 1.19867 39626.6
17926000 314.539 1489.19 1.19606 39713.1
17928000 315.457 -722.084 1.1948 39755.1
17930000 309.025 875.256 1.20017 39577.3
17932000 313.192 1619.01 1.19856 39630.5
17934000 306.821 47.7856 1.19743 39667.9
17936000 314.369 -1009.96 1.19533 39737.3
17938000 319.272 1051.51 1.19356 39796.5
17940000 316.602 509.035 1.20451 39434.6
17942000 312.652 425.025 1.19722 39674.6
17944000 323.189 -16.0141 1.20938 39275.8
17946000 310.318 -209.298 1.18568 40060.9
17948000 312.544 -31.4995 1.20812 39316.6
17950000 316.135 2028.21 1.20476 39426.5
17952000 314.551 1714.01 1.20624 39377.9
17954000 311.711 1016.55 1.20111 39546.1
17956000 315.383 950.183 1.20481 39424.7
17958000 313.352 1012.14 1.20616 39380.6
17960000 303.345 -3751.92 1.19245 39833.2
17962000 313.713 -1544.04 1.20804 39319.3
17964000 317.48 1201.55 1.20321 39477
17966000 311.524 -677.632 1.1859 40053.3
17968000 316.103 754.564 1.20756 39335
17970000 320.296 1568.03 1.1956 39728.5
17972000 314.528 -1123.86 1.20397 39452.4
17974000 316.621 504.727 1.20796 39321.9
17976000 303.986 -811.884 1.2053 39408.6
17978000 316.729 -516.735 1.19954 39598
17980000 305.422 171.911 1.19828 39639.7
17982000 310.636 -2448.75 1.19983 39588.3
17984000 315.036 189.529 1.21361 39138.8
17986000 312.648 341.252 1.20665 39364.6
17988000 312.407 620.46 1.1952 39741.7
17990000 315.261 -1383.05 1.20404 39450
17992000 312.127 -796.879 1.19601 39714.8
17994000 317.429 -1068.38 1.19117 39876.4
17996000 319.237 500.579 1.19889 39619.3
17998000 308.676 64.5425 1.19502 39747.7
18000000 313.551 1037.56 1.19724 39674
18002000 308.201 618.309 1.2075 39336.8
18004000 312.857 807.671 1.21254 39173.6
18006000 311.303 -1795.52 1.20566 39397
18008000 313.467 -893.663 1.20232 39506.4
18010000 317.247 1017.34 1.20126 39541.2
18012000 310.354 528.483 1.21378 39133.4
18014000 302.637 -964.445 1.20248 39501.3
18016000 313.036 -964.239 1.20407 39449.1
18018000 313.605 907.591 1.20055 39564.8
18020000 308.086 1603.94 1.20119 39543.5
18022000 310.768 -1402.5 1.20647 39370.5
18024000 312.262 98.1119 1.20248 39501.2
18026000 315.273 1907.18 1.20454 39433.7
18028000 311.152 -772.103 1.18774 39991.2
18030000 316.346 -1334.09 1.20525 39410.2
18032000 314.368 -2020.97 1.20065 39561.5
18034000 304.23 -547.084 1.19251 39831.2
18036000 313.054 2287.44 1.20825 39312.6
18038000 317.343 1207.95 1.20191 39520
18040000 305.769 2123.26 1.21002 39255.2
18042000 317.179 2509.9 1.20705 39351.5
18044000 308.37 -339.549 1.19775 39657.2
18046000 308.954 -917.537 1.2033 39474.4
18048000 320.432 -1013.95 1.20603 39385
18050000 308.257 2088.33 1.19067 39893
18052000 308.899 977.331 1.21541 39081
18054000 311.792 -419.495 1.20543 39404.5
18056000 316.271 -536.141 1.20499 39418.7
18058000 307.491 69.6393 1.19314 39810.5
18060000 313.992 2532.06 1.20691 39356.2
18062000 317.115 -329.394 1.20499 39418.8
18064000 314.29 -767.503 1.19779 39655.9
18066000 313.5 -334.596 1.19433 39770.6
18068000 313.754 1394.37 1.20433 39440.6
18070000 315.297 -501.25 1.20605 39384.4
18072000 314.161 -111.616 1.20328 39475
18074000 322.9 1713.2 1.20414 39446.7
18076000 311.824 -733.736 1.20201 39516.5
18078000 311.695 -1986.54 1.20629 39376.3
18080000 316.034 -477.052 1.20925 39280
18082000 313.055 -2033.01 1.2004 39569.6
18084000 308.709 509.341 1.20056 39564.2
18086000 317.948 1507.04 1.21218 39185.2
18088000 309.739 -333.866 1.2 39582.9
18090000 315.181 -1320.8 1.20308 39481.3
18092000 312.142 1082.35 1.19965 39594.4
18094000 316.42 -651.97 1.2038 39458
18096000 303.458 1454.71 1.19775 39657.1
18098000 305.918 46.7018 1.19767 39659.9
18100000 311.96 567.959 1.20874 39296.6
18102000 318.191 1193.91 1.20729 39343.7
18104000 319.129 -1038.22 1.2102 39249.2
18106000 309.502 -1132.06 1.20928 39279
18108000 321.692 -24.0594 1.20528 39409.4
18110000 315.675 -419.084 1.19928 39606.6
18112000 309.457 1249.66 1.19732 39671.3
18114000 314.384 2269.98 1.20073 39558.7
18116000 311.249 -993.151 1.20306 39482
18118000 311.879 -1607.88 1.19451 39764.7
18120000 314.351 378.605 1.20291 39487
18122000 316.73 -256.864 1.2041 39448.1
18124000 306.465 188.473 1.19842 39634.9
18126000 313.181 -821.466 1.20561 39398.6
18128000 313.194 -161.552 1.19692 39684.7
18130000 313.544 -692.805 1.2098 39262
18132000 311.077 -1.27137 1.20165 39528.4
18134000 311.008 -713.45 1.20795 39322.4
18136000 324.471 553.683 1.18917 39943.2
18138000 312.373 2580.34 1.20651 39369.3
18140000 303.504 -1022.9 1.20801 39320.4
18142000 312.831 1121.81 1.19916 39610.6
18144000 310.097 1742.11 1.19898 39616.3
18146000 316.19 277.461 1.20308 39481.3
18148000 312.624 -371.612 1.20739 39340.4
18150000 315.959 -689.603 1.19661 39694.8
18152000 313.175 -1402.3 1.19156 39863
18154000 315.197 617.618 1.19994 39584.9
18156000 310.566 -756.656 1.19829 39639.4
18158000 318.593 578.075 1.21254 39173.5
18160000 323.771 -1950.96 1.19702 39681.4
18162000 312.442 -10.1688 1.19965 39594.2
18164000 321.048 -519.494 1.20202 39516.2
18166000 314.192 -2728.95 1.18528 40074.5
18168000 322.461 870.896 1.18936 39936.9
18170000 315.584 944.926 1.1996 39596
18172000 316.632 -614.344 1.19647 39699.7
18174000 314.486 -1985.47 1.19505 39746.9
18176000 310.674 -1128.91 1.21126 39214.9
18178000 306.676 -430.469 1.21072 39232.4
18180000 317.592 -531.627 1.20416 39445.9
