# Time-averaged data for fix avg_qst
# TimeStep v_U_ch4 v_Nmol_ch4 v_UN_ch4 v_N2_ch4 v_U_co2 v_Nmol_co2 v_UN_co2 v_N2_co2
1020000 -130.298 54 -7036.11 2916 -194.536 31.3333 -6095.47 981.778
1030000 -130.807 54.2 -7090.23 2937.8 -196.431 31.3333 -6154.84 981.778
1040000 -130.329 54.6 -7116.12 2981.4 -198.089 31.3333 -6206.78 981.778
1050000 -129.512 54.2 -7019.96 2937.8 -196.296 31.3333 -6150.59 981.778
1060000 -129.571 54.6 -7075.06 2981.4 -195.653 31.3333 -6130.45 981.778
1070000 -124.421 52.4 -6520.05 2746 -197.837 31.3333 -6198.89 981.778
1080000 -122.161 50.6 -6181.82 2560.6 -198.381 31.3333 -6215.93 981.778
1090000 -121.052 50.6 -6126.63 2561 -196.087 31.3333 -6144.05 981.778
1100000 -118.362 49 -5799.76 2401 -196.963 31.3333 -6171.51 981.778
1110000 -115.772 47.8 -5535.42 2285.4 -199.853 31.7333 -6342.45 1007.11
1120000 -120.093 49.4 -5933.24 2440.6 -202.066 32 -6466.1 1024
1130000 -118.615 49 -5812.15 2401 -201.471 32.1333 -6474.06 1032.62
1140000 -121.13 50.4 -6107.64 2541.6 -205.771 32.6667 -6721.84 1067.11
1150000 -120.197 50.2 -6034.73 2520.6 -206.006 32.6667 -6729.52 1067.11
1160000 -117.676 49.2 -5790.13 2420.8 -205.461 32.6667 -6711.73 1067.11
1170000 -121.457 51 -6194.3 2601 -205.796 32.8 -6750.66 1075.91
1180000 -120.003 50 -6000.17 2500 -209.779 33.3333 -6992.64 1111.11
1190000 -117.184 48.8 -5720.01 2382 -210.949 33.3333 -7031.64 1111.11
1200000 -119.939 50.4 -6045.18 2540.4 -210.542 33.4667 -7046.64 1120.09
1210000 -123.303 51.6 -6363.96 2663.2 -218.286 34.6667 -7567.26 1201.78
1220000 -119.196 49.2 -5864.79 2420.8 -217.554 34.1333 -7426.15 1165.16
1230000 -119.229 49.4 -5890.96 2441 -217.156 34.2667 -7441.74 1174.31
1240000 -122.424 50 -6122.06 2500.4 -219.898 34.6667 -7623.13 1201.78
1250000 -121.754 50.4 -6137.81 2540.8 -223.709 34.9333 -7815.89 1220.44
1260000 -122.653 50.6 -6206.07 2560.6 -225.365 35.3333 -7962.91 1248.44
1270000 -123.874 51.8 -6417.21 2683.4 -225.649 35.3333 -7972.93 1248.44
1280000 -124.092 52 -6452.79 2704 -224.348 35.3333 -7926.97 1248.44
1290000 -123.886 51.4 -6369.59 2643.4 -223.527 35.3333 -7897.97 1248.44
1300000 -125.31 52 -6516.12 2704 -227.993 35.7333 -8147.7 1276.98
1310000 -123.849 51 -6318.96 2602.6 -231.734 36.2667 -8405.29 1315.38
1320000 -120.305 49 -5894.93 2401 -234.389 36.6667 -8594.28 1344.44
1330000 -120.268 48.8 -5869.46 2381.6 -237.982 37.0667 -8822.2 1374.04
1340000 -117.299 47.6 -5584.04 2266 -237.926 37.3333 -8882.56 1393.78
1350000 -116.259 47.6 -5534.26 2266 -239.865 37.7333 -9051.56 1423.91
1360000 -110.815 45 -4988.72 2026.2 -242.699 38.1333 -9255.79 1454.22
1370000 -107.429 43.8 -4705.52 1918.6 -247.898 39.0667 -9684.87 1526.31
1380000 -106.22 43.8 -4652.96 1918.6 -250.967 39.7333 -9972.48 1578.84
1390000 -103.702 43 -4459.69 1849.4 -253.088 40 -10123.5 1600
1400000 -104.739 43.4 -4546.08 1883.8 -252.837 40 -10113.5 1600
1410000 -110.205 45.4 -5007.31 2062.6 -254.259 40.2667 -10238.5 1621.51
1420000 -113.853 47 -5351.7 2209.8 -253.606 40 -10144.2 1600
1430000 -112.946 46.4 -5241.33 2153.2 -253.412 40 -10136.5 1600
1440000 -108.851 44.6 -4855.68 1989.4 -251.173 39.7333 -9980.54 1578.84
1450000 -105.683 43 -4544.36 1849 -253.637 40 -10145.5 1600
1460000 -107.805 43.4 -4680.4 1884.2 -252.657 40 -10106.3 1600
1470000 -110.15 44.4 -4891.34 1971.6 -252.992 40 -10119.7 1600
1480000 -106.372 42 -4467.62 1764 -252.255 40.2667 -10158.3 1621.51
1490000 -103.061 41.6 -4288.93 1731.6 -258.291 40.6667 -10503.8 1653.78
1500000 -112.223 44.6 -5005.75 1989.4 -256.785 40.6667 -10442.6 1653.78
1510000 -111.838 44.8 -5010.68 2007.2 -256.4 40.6667 -10426.9 1653.78
1520000 -109.752 45.2 -4961 2043.2 -255.169 40.8 -10411.2 1664.71
1530000 -110.333 44.6 -4921.68 1989.4 -259.153 41.3333 -10711.7 1708.44
1540000 -111.739 45.8 -5117.97 2097.8 -259.671 41.3333 -10733.1 1708.44
1550000 -107.822 44 -4744.16 1936 -260.733 41.3333 -10777 1708.44
1560000 -109.949 44.8 -4926.11 2007.2 -259.021 41.3333 -10706.2 1708.44
1570000 -114.502 46.8 -5359.17 2190.4 -261.869 41.7333 -10929.5 1741.78
1580000 -116.142 47.4 -5505.43 2247 -264.81 41.8667 -11086.9 1752.89
1590000 -115.481 47 -5427.59 2209 -260.657 41.3333 -10773.8 1708.44
1600000 -115.174 46.6 -5368.39 2172.2 -264.086 41.3333 -10915.6 1708.44
1610000 -113.468 45.6 -5174.99 2079.6 -264.982 41.6 -11023.8 1730.67
1620000 -110.786 45 -4986.73 2025.4 -270.955 42.6667 -11560.7 1820.44
1630000 -115.969 46.8 -5427.94 2190.4 -274.176 42.9333 -11772.3 1843.38
1640000 -116.377 47 -5469.72 2209 -276.778 43.3333 -11993.7 1877.78
1650000 -116.229 47 -5462.75 2209 -281.246 44.1333 -12412.6 1947.82
1660000 -116.578 47 -5479.17 2209 -285.138 44.6667 -12736.2 1995.11
1670000 -118.375 47.6 -5635.29 2266 -286.796 44.6667 -12810.2 1995.11
1680000 -119.847 48.2 -5777.08 2323.4 -286.538 44.6667 -12798.7 1995.11
1690000 -119.404 48.4 -5782.68 2344 -289.605 44.8 -12974.6 2007.11
1700000 -113.756 46 -5233.55 2116.4 -293.677 45.7333 -13431.9 2091.64
1710000 -109.968 44.4 -4884.38 1972 -295.302 46 -13583.9 2116
