# Time-averaged data for fix data_output
# TimeStep c_thermo_temp c_thermo_press v_density
481000 408.889 -465.015 1.15914
482000 408.341 397.961 1.16927
483000 421.733 1716.59 1.17797
484000 420.291 -1270.81 1.17441
485000 403.672 467.015 1.18098
486000 405.806 -3.14843 1.17343
487000 409.807 550.338 1.16449
488000 409.015 2057.87 1.16829
489000 408.661 2283.27 1.17262
490000 411.772 -144.843 1.1743
491000 409.292 -1370.17 1.16791
492000 415.672 502.969 1.16879
493000 409.481 608.867 1.16933
494000 401.975 -858.38 1.16522
495000 406.247 10.137 1.1609
496000 406.86 709.678 1.16694
497000 403.895 -1168.07 1.16697
498000 409.563 -254.052 1.15883
499000 408.648 -315.528 1.15963
500000 402.95 -681.548 1.15097
501000 413.709 425.705 1.15196
502000 408.371 -847.981 1.15164
503000 399.432 1460.77 1.17278
504000 407.605 779.399 1.15438
505000 409.976 2444.49 1.16136
506000 408.208 -254.183 1.15929
507000 398.308 -2729.41 1.15221
508000 404.209 936.967 1.15463
509000 402.241 252.613 1.17127
510000 406.892 2391.07 1.15085
511000 412.607 2392.26 1.1734
512000 420.249 -1726.2 1.15443
513000 403.565 482.222 1.15649
514000 413.506 432.747 1.16904
515000 401.838 -1042.5 1.15741
516000 402.085 -26.3299 1.14671
517000 400.86 91.3874 1.16763
518000 402.826 -1823.72 1.17145
519000 404.169 1330.42 1.15696
520000 407.453 -3033.24 1.1639
521000 403.232 399.345 1.15048
522000 402.942 -1725.28 1.14837
523000 401.284 -927.186 1.16256
524000 413.154 -1748.89 1.16381
525000 404.423 -420.808 1.17574
526000 400.791 -2346.32 1.16024
527000 412.574 2371.58 1.16452
528000 401.982 -396.85 1.16515
529000 401.883 453.188 1.15781
530000 394.692 -627.164 1.16559
531000 398.917 2129.39 1.16426
532000 400.18 -3671.96 1.15736
533000 397.829 -668.008 1.16758
534000 401.898 46.5679 1.16679
535000 399.515 2067.25 1.16419
536000 397.534 -396.102 1.15639
537000 395.096 1695.89 1.16742
538000 403.161 2240.68 1.15791
539000 404.286 371.431 1.15968
540000 399.508 -1447.61 1.16329
541000 390.513 -984.409 1.15099
542000 402.488 -2105.4 1.15007
543000 402.592 -1489.49 1.15406
544000 406.73 898.476 1.15972
545000 397.923 -1885.39 1.15754
546000 396.639 -1198 1.14881
547000 401.063 1160.45 1.16947
548000 400.962 989.769 1.15619
549000 404.741 -1662.79 1.15436
550000 392.943 1604.21 1.15363
551000 398.568 2185.19 1.15805
552000 395.225 -1312.23 1.16586
553000 408.645 -339.696 1.16995
554000 404.817 -2344.61 1.14367
555000 402.487 -210.711 1.15957
556000 383.523 -1033.85 1.16069
557000 389.76 1399.04 1.1517
558000 397.95 659.843 1.15789
559000 392.044 1214.52 1.16484
560000 400.617 -1084.68 1.1484
561000 388.723 322.465 1.15445
562000 389.945 -948.986 1.16053
563000 398.726 1375.21 1.15312
564000 397.939 107.863 1.1611
565000 395.024 -542.825 1.17227
566000 393.788 -3269.82 1.16034
567000 386.379 -2476.69 1.15434
568000 392.888 1282.76 1.16734
569000 390.426 -223.203 1.15846
570000 397.479 364.306 1.15669
571000 398.444 1025.14 1.16199
572000 397.427 2335.29 1.15887
573000 388.304 602.155 1.16232
574000 392.227 324.95 1.15282
575000 385.597 1337.49 1.16428
576000 397.199 3485.44 1.1641
577000 398.787 1930.62 1.16151
578000 394.306 1769.2 1.17809
579000 393.686 587.178 1.15383
580000 386.737 -1596.25 1.1509
581000 386.415 -397.698 1.16572
582000 392.541 1587.29 1.15907
583000 381.448 2476.46 1.16242
584000 384.676 -690.1 1.16004
585000 379.325 1362.99 1.15494
586000 385.979 -399.466 1.16848
587000 395.806 -1601.36 1.17294
588000 395.081 685.964 1.16025
589000 378.182 1334.37 1.15733
590000 393.212 1373.02 1.1765
591000 386.21 172.147 1.15679
592000 385.454 1177.93 1.16869
593000 396.772 1118.49 1.17409
594000 386.317 2377.42 1.16098
595000 387.822 1018.28 1.16022
596000 388.811 71.4016 1.16261
597000 398.474 -1047.21 1.16671
598000 385.111 -1489.36 1.162
599000 383.937 -912.086 1.16246
600000 384.351 -307.007 1.16116
601000 392.049 997.568 1.16809
602000 388.969 -744.951 1.16905
603000 385.355 669.1 1.16344
604000 385.567 -1020.07 1.16878
605000 385.703 890.854 1.17709
606000 390.037 -2163.98 1.15867
607000 392.389 -1019.55 1.17094
608000 383.885 584.089 1.18774
609000 385.919 -1040.52 1.15431
610000 382.955 2047.64 1.16742
611000 387.842 -882.656 1.16189
612000 381.961 66.6758 1.15958
613000 382.318 -1468.59 1.16305
614000 379.144 630.576 1.16704
615000 390.636 -63.1831 1.17
616000 391.321 -2913.03 1.16052
617000 385.819 966.591 1.18337
618000 378.34 -1064.16 1.16587
619000 376.641 -509.487 1.17546
620000 381.063 399.611 1.17269
621000 382.846 -1218.29 1.17335
622000 383.429 -424.168 1.17206
623000 384.936 -699.302 1.16369
624000 388.199 637.811 1.18291
625000 378.661 1570.61 1.17613
626000 382.142 1583.29 1.17005
627000 377.945 -1305.13 1.17118
628000 388.362 -230.132 1.1613
629000 387.611 233.187 1.17396
630000 382.245 -1395.09 1.16819
631000 381.905 -1176.78 1.14561
632000 382.725 2362.32 1.16619
633000 385.161 2084.16 1.17315
634000 376.009 1361.38 1.16049
635000 382.989 1682.37 1.17044
636000 388.494 715.465 1.16654
637000 374.588 775.026 1.16465
638000 377.859 -1219.9 1.15935
639000 380.188 1464.71 1.14878
640000 388.505 -89.2755 1.16226
641000 382.221 2037.98 1.16387
642000 384.5 468.171 1.15172
643000 383.686 11.9486 1.16092
644000 383.654 -1885.12 1.16874
645000 383.551 -1403.92 1.1504
646000 383.382 921.672 1.17065
647000 383.49 780.206 1.16143
648000 380.308 663.305 1.16215
649000 373.718 793.562 1.15792
650000 386.48 962.942 1.16901
651000 386.023 -677.772 1.16574
652000 375.812 2611.28 1.15951
653000 385.364 1206.53 1.16482
654000 378.624 2033.41 1.16664
655000 376.427 -853.886 1.16202
656000 374.431 -1419.73 1.165
657000 384.199 1047.51 1.17383
658000 377.419 -136.639 1.1526
659000 386.887 -2388.25 1.1608
660000 381.129 397.035 1.16209
661000 371.713 -528.764 1.16166
662000 368.301 1466.11 1.16346
663000 372.619 981.279 1.16983
664000 383.305 -2205.43 1.17894
665000 380.291 77.7568 1.15373
666000 375.103 1897.02 1.16576
667000 373.296 317.045 1.17282
668000 378.811 1770.65 1.17132
669000 374.286 196.23 1.17221
670000 373.219 423.311 1.16679
671000 379.397 -1128.9 1.15647
672000 377.155 1288.94 1.16189
673000 367.059 -923.065 1.15929
674000 363.066 1253.54 1.17485
675000 373.214 216.998 1.16782
676000 370.901 -1343.09 1.15048
677000 387.038 461.478 1.17394
678000 372.177 -443.296 1.17471
679000 371.757 -668.497 1.16595
680000 376.448 1119.4 1.15016
681000 377.603 5.97112 1.15253
682000 383.026 2650.04 1.17549
683000 379.219 2932.54 1.15324
684000 373.868 9.1884 1.16066
685000 371.616 1554.33 1.18401
