# Time-averaged data for fix data_output
# TimeStep c_thermo_temp c_thermo_press v_density v_vol
276000 310.71 409.55 1.20288 39488.1
277000 313.227 1303.09 1.2064 39372.7
278000 316.338 -1587.2 1.19868 39626.3
279000 315.64 491.746 1.20801 39320.3
280000 319.337 1112.37 1.196 39715.1
281000 307.79 43.3969 1.20317 39478.5
282000 312.156 833.872 1.19709 39679
283000 310.768 1084.61 1.2049 39421.8
284000 321.792 535.603 1.19803 39648
285000 312.968 -1360.9 1.20011 39579.2
286000 305.244 -678.565 1.19366 39793.1
287000 314.109 -1332.99 1.20338 39471.7
288000 321.357 -41.2491 1.20588 39389.9
289000 313.081 1081.33 1.21551 39077.6
290000 309.381 592.716 1.19873 39624.6
291000 315.491 1437.64 1.20117 39544.1
292000 313.318 643.384 1.20021 39575.7
293000 317.265 -239.704 1.20848 39305
294000 319.5 -1174 1.19884 39621.2
295000 315.22 -1737.18 1.19898 39616.5
296000 313.139 -598.297 1.19269 39825.5
297000 312.641 -163.102 1.19813 39644.5
298000 307.554 163.69 1.21178 39197.9
299000 304.733 -2391.67 1.19017 39909.7
300000 319.278 893.978 1.20206 39515
301000 313.479 -298.432 1.20093 39552
302000 311.4 -8.18323 1.19635 39703.4
303000 320.106 183.507 1.20523 39410.9
304000 317.106 -3000.27 1.1919 39851.8
305000 309.427 240.627 1.20441 39438
306000 315.166 2014.67 1.19508 39745.7
307000 319.449 856.507 1.20575 39394.1
308000 308.943 21.8507 1.20162 39529.5
309000 306.22 598.67 1.19755 39663.8
310000 312.06 -445.127 1.20941 39274.9
311000 311.024 1263.61 1.1949 39751.8
312000 318.921 1259.86 1.20426 39442.8
313000 307.422 1227.05 1.19923 39608.2
314000 312.221 1389.55 1.20346 39469
315000 319.051 -718.16 1.18832 39971.7
316000 320.248 -602.23 1.20733 39342.5
317000 324.462 -1748.67 1.1971 39678.6
318000 312.183 -907.124 1.20149 39533.7
319000 315.278 2366.81 1.21283 39163.9
320000 311.336 459.553 1.19086 39886.7
321000 311.037 -1285.16 1.21235 39179.6
322000 318.17 -2910.92 1.20055 39564.5
323000 314.924 167.306 1.21016 39250.6
324000 317.817 -2066.95 1.1977 39658.9
325000 310.66 -2200.42 1.21044 39241.3
326000 312.684 732.94 1.21356 39140.6
327000 315.679 -1179.06 1.20732 39342.7
328000 311.267 -907.12 1.20129 39540.1
329000 308.901 287.957 1.2245 38790.8
330000 309.97 -1184.7 1.20786 39325.1
331000 310.914 -515.375 1.20566 39397
332000 311.055 -168.958 1.21424 39118.4
333000 309.516 -1214.91 1.20428 39442.1
334000 318.783 -1317.82 1.20461 39431.4
335000 321.961 -1577.96 1.20903 39287.3
336000 313.402 910.118 1.20311 39480.4
337000 305.405 -305.064 1.20781 39326.8
338000 317.408 -1899.52 1.20844 39306.5
339000 308.686 -527.487 1.2049 39421.9
340000 313.748 -1963.46 1.21489 39097.5
341000 308.391 -2421.33 1.19678 39689.2
342000 310.722 -1027.99 1.20778 39327.9
343000 312.01 1108.74 1.19859 39629.4
344000 307.42 697.799 1.21166 39202
345000 312.757 -681.164 1.19504 39747
346000 306.885 2631.67 1.2051 39415.1
347000 312.089 1318.03 1.21012 39251.7
348000 318.262 -635.236 1.19591 39718.3
349000 309.058 -450.398 1.22001 38933.6
350000 310.931 47.5842 1.20109 39546.8
351000 314.722 329.915 1.1982 39642.1
352000 307.367 188.53 1.21119 39217.2
353000 312.056 -2437.74 1.19955 39597.7
354000 311.541 -156.922 1.20675 39361.3
355000 315.639 -9.71622 1.21049 39239.9
356000 314.051 -2956.95 1.19417 39775.9
357000 312.437 1686.55 1.21265 39169.8
358000 313.154 -1147.05 1.21033 39245
359000 320.651 1425.85 1.21375 39134.3
360000 307.012 -549.031 1.19505 39746.7
361000 308.208 158.061 1.21629 39052.5
362000 304.687 -1680.98 1.20086 39554.5
363000 316.462 512.131 1.2068 39359.8
364000 310.383 1180.69 1.20083 39555.5
365000 314.977 565.446 1.20296 39485.4
366000 309.582 1915.13 1.19766 39660
367000 312.235 -1222.2 1.20288 39487.9
368000 312.698 1757.26 1.20607 39383.5
369000 314.04 -21.2069 1.19992 39585.5
370000 314.756 -1053.95 1.20988 39259.5
371000 307.634 915.924 1.19612 39711.1
372000 305.369 85.4524 1.20419 39445
373000 308.738 -207.529 1.20233 39506.2
374000 311.144 -728.247 1.20471 39428.1
375000 313.519 1011.74 1.20039 39570
376000 317.428 1352.06 1.20636 39374.2
377000 313.717 -1792.06 1.19899 39616.1
378000 315.401 953.594 1.20866 39299.1
379000 313.914 -863.789 1.20606 39384
380000 311.678 2185.93 1.20723 39345.6
381000 317.538 1607.84 1.21734 39019
382000 314.2 917.959 1.20584 39391
383000 312.82 3323.73 1.20772 39329.7
384000 312.034 -2769.04 1.20434 39440.1
385000 312.484 843.626 1.19912 39611.8
386000 316.266 900.499 1.20864 39299.8
387000 309.123 1653.84 1.21182 39196.8
388000 307.518 1314.48 1.1995 39599.4
389000 303.219 2041.45 1.20706 39351.1
390000 314.837 -742.656 1.19839 39636
391000 314.004 -551.92 1.20765 39332
392000 311.958 1108.94 1.21092 39225.9
393000 317.024 -1940 1.19791 39651.8
394000 312.811 -418.018 1.20552 39401.7
395000 315.422 -330.705 1.19835 39637.4
396000 313.401 157.233 1.20487 39422.8
397000 320.629 -636.961 1.20259 39497.4
398000 315.165 638.135 1.20097 39550.7
399000 311.651 9.31448 1.20103 39548.7
400000 320.023 1192.04 1.19578 39722.6
401000 323.09 1865.25 1.2028 39490.7
402000 313.202 -2438.19 1.20578 39392.9
403000 313.399 -121.566 1.19109 39878.9
404000 315.794 690.995 1.204 39451.2
405000 316.195 1113.02 1.19923 39608.3
406000 322.468 492.848 1.20255 39498.8
407000 305.623 -151.081 1.19455 39763.4
408000 318.16 584.549 1.20608 39383.2
409000 309.319 -758.556 1.1912 39875.2
410000 313.367 -458.101 1.19935 39604.1
411000 305.542 1043.5 1.19422 39774.3
412000 311.354 -487.63 1.20757 39334.7
413000 317.644 116.311 1.20572 39395
414000 312.92 2016.26 1.19733 39671
415000 307.375 -1480.88 1.20212 39512.9
416000 317.079 -68.7286 1.19924 39607.8
417000 307.984 -1165.35 1.19908 39613.2
418000 310.234 1632.05 1.20268 39494.6
419000 315.719 -0.745728 1.19744 39667.4
420000 313.455 -870.854 1.20436 39439.6
421000 309.021 616.26 1.19189 39852
422000 315.974 2720.31 1.21826 38989.6
423000 321.124 -2364.88 1.19369 39792.2
424000 319.795 1350.62 1.20325 39476
425000 315.341 912.321 1.1961 39711.7
426000 311.807 1014.83 1.19838 39636.4
427000 307.635 933.24 1.1967 39691.8
428000 311.898 209.592 1.19627 39706.1
429000 317.93 106.348 1.19804 39647.5
430000 315.874 760.213 1.20958 39269.2
431000 301.52 52.0212 1.20184 39522.2
432000 311.951 1238.5 1.20739 39340.4
