# Time-averaged data for fix data_output
# TimeStep c_thermo_temp c_thermo_press v_density
443000 311.634 111.922 1.19464
444000 321.453 2914.61 1.21325
445000 320.428 -151.069 1.20015
446000 315.959 484.91 1.20533
447000 313.647 -339.932 1.20752
448000 309.521 -404.249 1.19595
449000 309.818 -1433.31 1.21391
450000 307.082 780.371 1.19728
451000 305.532 870.77 1.20411
452000 308.352 213.525 1.21288
453000 314.612 247.105 1.20023
454000 310.119 -1075.1 1.20858
455000 310.865 35.6354 1.20256
456000 306.69 -2770.14 1.20848
457000 310.41 2021.05 1.21329
458000 312.244 -590.868 1.1966
459000 315.671 413.837 1.20993
460000 315.966 -1173.55 1.21461
461000 308.384 1887.82 1.21241
462000 307.933 2574.78 1.21395
463000 313.626 504.22 1.19448
464000 316.706 100.864 1.21847
465000 313.94 -1636.55 1.19922
466000 313.798 -2343.98 1.19914
467000 316.63 429.321 1.21562
468000 315.911 -570.761 1.20525
469000 313.396 -92.6767 1.19481
470000 315.241 311.547 1.20292
471000 317.839 252.459 1.20635
472000 311.713 831.441 1.20704
473000 316.03 -1575.18 1.20202
474000 313.792 1818.3 1.2168
475000 308.772 1344.64 1.19515
476000 308.918 200.126 1.20142
477000 316.408 -2189.83 1.20738
478000 313.437 -694.441 1.20306
479000 309.229 3295.59 1.21542
480000 311.282 200.646 1.20019
481000 315.652 -183.17 1.20492
482000 311.974 -1703.73 1.20222
483000 312.033 700.61 1.21491
484000 316.911 1193.39 1.19345
485000 314.42 1409.17 1.20392
486000 309.01 -1066.75 1.21039
487000 314.317 1829.92 1.2086
488000 313.884 270.209 1.20937
489000 309.505 1157.09 1.19835
490000 315.391 1346.24 1.2054
491000 318.47 -464.55 1.19896
492000 311.016 -371.614 1.20069
493000 311.661 -1398.96 1.19989
494000 309.621 -1338.66 1.20881
495000 310.226 -2606.64 1.18803
496000 313.913 1609.96 1.20743
497000 315.835 308.608 1.2091
498000 323.866 -10.0536 1.20272
499000 312.096 838.546 1.20142
500000 315.16 -975.457 1.18827
